AGE	INCOME	MARITAL	MORTGAGE	LOANS	RISK	income2	age2
40	28785	"other"""""	"y"""""	3	bad loss	36060.7	44
44	28617	"other"""""	"n"""""	2	bad loss	36009.34	41
44	28230	"other"""""	"n"""""	2	bad loss	35614.6	46
44	27909	"other"""""	"y"""""	2	bad loss	35287.18	42
45	27553	"other"""""	"y"""""	2	bad loss	34954.06	36
43	26943	"other"""""	"n"""""	2	bad loss	34271.86	41
29	26180	"other"""""	"n"""""	3	bad loss	48445	40
41	24665	"other"""""	""""""	2	bad loss	31888.3	44
27	24327	"other"""""	"n"""""	2	bad loss	43249.25	39
43	24244	"other"""""	"n"""""	2	bad loss	31518.88	51
46	24211	"other"""""	"n"""""		bad loss		
48	24027	"other"""""	"n"""""	2	bad loss	31447.54	47
41	23851	"other"""""	"n"""""	2	bad loss	31058.02	30
37	22970	"other"""""	"y"""""	2	bad loss	30039.4	46
40	21975	"other"""""	"y"""""	2	bad loss		42
26	20617	"other"""""	"n"""""	3	bad loss	32996.75	40
33	17511	"other"""""	"n"""""	3	bad loss	24351.22	44
50	16760	"other"""""	"n"""""	2	bad loss	24095.2	33
30	42899	""""""	"y"""""	1	bad loss	50156.98	46
44	40425	"married"""""	"y"""""	1	bad loss	48053.5	29
41	40246	"married"""""	"y"""""	1	bad loss	47780.92	43
39	40057	"married"""""	"y"""""	1	bad loss	47528.14	42
32	28942	"married"""""	"y"""""	2	bad loss	35980.84	50
43	27517	"married"""""	"y"""""	2	bad loss	34857.34	48
26	26595	"married"""""	"y"""""	2	bad loss	49436.25	45
47	26023	"married"""""	"y"""""	1	bad loss	33453.46	45
37	25654	"married"""""	"y"""""	1	bad loss	32777.08	45
41	24724	"married"""""	"y"""""	1	bad loss	31948.48	49
45	24630	"married"""""	"y"""""	2	bad loss	31972.6	43
40	24519	"married"""""	"y"""""	2	bad loss	31709.38	39
28	23504	"married"""""	"y"""""	2	bad loss	41036	31
22	23464	"married"""""	"y"""""	2	bad loss	40626	42
22	23386	"married"""""	"y"""""	2	bad loss	40411.5	45
47	22756	"married"""""	"y"""""	1	bad loss	30121.12	44
47	21681	"married"""""	"y"""""	1	bad loss	29024.62	40
40	20789	"married"""""	"y"""""	2	bad loss	27904.78	46
20	20478	"married"""""	"y"""""	1	bad loss	32314.5	46
38	20000	"married"""""	"y"""""	1	bad loss	27040	41
27	18488	"married"""""	"y"""""	2	bad loss	27192	50
34	17977	"married"""""	"y"""""	2	bad loss	24856.54	37
26	17478	"married"""""	"y"""""	1	bad loss	24364.5	41
41	16921	"married"""""	"y"""""	1	bad loss	23989.42	41
31	34845	"single"""""	"y"""""	0	bad loss	41971.9	28
31	28315	"single"""""	"y"""""	0	bad loss	35311.3	44
20	24597	"single"""""	"n"""""	1	bad loss	43641.75	47
20	24148	"single"""""	"y"""""	1	bad loss	42407	47
22	21834	"single"""""	"n"""""	1	bad loss	36143.5	27
38	20287	"single"""""	"n"""""	1	bad loss	27332.74	48
21	19238	"single"""""	"n"""""	1	bad loss	28954.5	47
25	20240	"married"""""	"y"""""	2	bad loss	31910	27
37	21155	"single"""""	"n"""""	1	bad loss	28188.1	42
41	56470	"married"""""	"y"""""	0	bad loss	64329.4	30
30	36356	"single"""""	"y"""""	0	bad loss	43483.12	47
45	29780	"other"""""	"y"""""	3	bad loss	37225.6	30
40	29541	"other"""""	"n"""""	3	bad loss	36831.82	48
50	29374	"other"""""	"n"""""	2	bad loss	36961.48	40
41	29069	"other"""""	"n"""""	3	bad loss	36380.38	41
38	27936	"other"""""	"y"""""	2	bad loss	35134.72	45
44	27281	"other"""""	"n"""""	2	bad loss	34646.62	36
41	26826	"other"""""	"n"""""	2	bad loss	34092.52	40
45	26710	"other"""""	"y"""""	2	bad loss	34094.2	32
47	26256	"other"""""	"y"""""	2	bad loss	33691.12	35
47	26152	"other"""""	"y"""""	3	bad loss	33585.04	37
44	25718	"other"""""	"y"""""	2	bad loss	33052.36	36
42	25517	"other"""""	"y"""""	3	bad loss	32787.34	38
47	25401	"other"""""	"y"""""	2	bad loss	32819.02	42
46	24919	"other"""""	"y"""""	2	bad loss	32297.38	45
43	24877	"other"""""	"y"""""	2	bad loss	32164.54	32
