MAKE	MODEL	CARID	CARID_YR	HEAD_INJ	CHEST_IN	LLEG_INJ	RLEG_INJ	DRIV_PAS	PROTECT	DOORS	YEAR	WEIGHT	SIZE	SIZE2	PROTECT2
Acura    	Integra        	Acura Integra            	Acura Integra 87            	599	35	791	262	Driver	manual belts   	2    	87	2350	lt  	2	1
Acura    	Integra RS     	Acura Integra RS         	Acura Integra RS 90         	585	 	1545	1301	Driver	Motorized belts	4    	90	2490	lt  	2	2
Acura    	Legend LS      	Acura Legend LS          	Acura Legend LS 88          	435	50	926	708	Driver	d airbag       	4    	88	3280	med 	3	4
Audi     	80             	Audi 80                  	Audi 80 89                  	600	49	168	1871	Driver	manual belts   	4    	89	2790	comp	1	1
Audi     	100            	Audi 100                 	Audi 100 89                 	185	35	998	894	Driver	d airbag       	4    	89	3100	med 	3	4
BMW      	325i           	BMW 325i                 	BMW 325i 90                 	1036	56	865	 	Driver	d airbag       	2    	90	2862	comp	1	4
Buick    	Century        	Buick Century            	Buick Century 91            	815	47	1340	315	Driver	passive belts  	4    	91	2992	comp	1	3
Buick    	Elect. Park Ave	Buick Elect. Park Ave    	Buick Elect. Park Ave 88    	1467	54	712	1366	Driver	manual belts   	4    	88	3360	med 	3	1
Buick    	Le Sabre       	Buick Le Sabre           	Buick Le Sabre 90           	 	35	1049	908	Driver	passive belts  	2    	90	3240	med 	3	3
Buick    	Regal          	Buick Regal              	Buick Regal 88              	880	50	996	642	Driver	passive belts  	2    	88	3210	med 	3	3
Cadillac 	De Ville       	Cadillac De Ville        	Cadillac De Ville 90        	423	39	541	1629	Driver	d airbag       	4    	90	3500	hev 	4	4
Chevrolet	Astro          	Chevrolet Astro          	Chevrolet Astro 88          	1603	72	1572	700	Driver	manual belts   	-    	88	3787	van 	6	1
Chevrolet	Astro          	Chevrolet Astro          	Chevrolet Astro 89          	1849	64	2737	1043	Driver	manual belts   	-    	89	4002	van 	6	1
Chevrolet	Beretta        	Chevrolet Beretta        	Chevrolet Beretta 91        	343	37	659	523	Driver	d airbag       	2    	91	2671	comp	1	4
Chevrolet	Beretta GT     	Chevrolet Beretta GT     	Chevrolet Beretta GT 88     	864	50	1692	1052	Driver	passive belts  	2    	88	2890	comp	1	3
Chevrolet	Camaro         	Chevrolet Camaro         	Chevrolet Camaro 87         	733	39	736	353	Driver	manual belts   	2    	87	3070	med 	3	1
Chevrolet	Camaro         	Chevrolet Camaro         	Chevrolet Camaro 91         	585	39	717	150	Driver	d airbag       	2    	91	3191	med 	3	4
Chevrolet	Caprice        	Chevrolet Caprice        	Chevrolet Caprice 89        	1328	64	406	493	Driver	manual belts   	4    	89	3693	hev 	4	1
